Federal Provider Number,Percentage of high risk long-stay residents with pressure ulcers,Percentage of long-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long-stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long-stay residents experiencing one or more falls with major injury,Percentage of long-stay residents who have depressive symptoms,Percentage of long-stay residents who lose too much weight,Percentage of long-stay residents who received an antianxiety or hypnotic medication,Percentage of long-stay residents who received an antipsychotic medication,Percentage of long-stay residents who were physically restrained,Percentage of long-stay residents whose ability to move independently worsened,Percentage of long-stay residents whose need for help with daily activities has increased,Percentage of long-stay residents with a catheter inserted and left in their bladder,Percentage of long-stay residents with a urinary tract infection,Percentage of low risk long-stay residents who lose control of their bowels or bladder,Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short-stay residents who made improvements in function,Percentage of short-stay residents who newly received an antipsychotic medication,Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine
175133,2.197801,100.0,100.0,1.7857150000000002,9.489052,1.604279,14.155252,13.004483,0.0,7.194853,3.301888,0.396272,0.438597,20.547944,99.545455,98.597989,3.030303,99.186992
175135,9.473684,33.333333,61.137441,2.116403,9.883724,1.675977,8.69565,11.538463,0.0,38.598686,25.862071,0.3934760000000001,1.630432,28.0,16.23377,57.307446,7.93651,10.497238
175141,3.174605,100.0,99.193548,8.035714,1.960785,1.030928,17.0,0.0,0.0,22.6928,15.306125,0.8652569999999999,7.339448,42.372882,100.0,73.17850200000002,0.0,97.560976
175145,0.0,99.009902,96.017699,0.9901,0.0,5.405406,6.832299000000001,7.653061,0.0,25.23418,13.836477,0.472875,2.688171,38.016529,94.557822,69.507971,0.0,93.571429
175154,12.857141,93.292683,97.5,0.0,6.535947,0.746268,12.587411,3.773585,0.0,16.918385,17.605635999999997,0.0,2.580645,55.20833199999999,94.509151,68.356566,0.705882,84.359401
175157,9.03226,98.555957,95.192308,3.249097,9.42623,6.550218,26.591759000000003,12.5,0.0,27.507659000000004,17.441860000000002,0.755532,5.857741000000001,44.966442,69.364161,68.24498,1.754386,71.282051
175159,2.000001,97.333332,100.0,0.0,0.0,5.882354,12.499999,0.0,0.0,42.3748,28.985506,2.735625,11.267606,59.523809,80.842104,82.1736,1.136364,94.594595
175162,4.597703,25.000003,79.518072,0.694445,3.418804,1.2195129999999998,26.744185,15.966385999999998,0.0,31.438494,21.176469,12.385749,5.714285,43.396228,19.108277,74.336233,3.947369,30.909091
175165,6.201551,98.378378,93.248945,9.729731,4.651162,4.4776110000000005,15.068493,19.047619,0.0,14.350603,14.48276,0.503057,1.1560700000000002,64.761904,93.08176,75.77336899999997,0.0,64.42953
175168,7.692307,98.224851,95.25,4.142012,24.458206,9.89011,17.532469,17.090908,0.0,11.262144,21.403507,0.580342,0.664451,57.615892,83.687942,59.037421,3.278687,87.198068
175171,11.764707,100.0,97.794118,0.884956,2.727272,8.75,26.744185,12.037038,0.0,19.564335,16.279069,4.147564,2.830189,60.416667,95.121951,75.32027099999998,0.0,92.825112
175172,19.696969,79.03779899999998,96.09375,3.436424,82.421876,7.655505000000002,29.999999,27.542372,0.0,25.124601,17.021276,3.436846,2.8806580000000004,15.887851,38.317754,74.224588,4.651163,37.411765
175173,12.63736,98.993289,95.930233,3.3557050000000004,1.805054,4.379562,21.554768,22.147651,0.0,24.370075,16.058394,1.624562,10.452962,49.693251,88.188975,74.540686,1.5625,89.714286
175174,2.904563,100.0,95.331695,3.88601,2.374673,3.4852540000000003,17.875651,31.926123,0.0,14.657189,10.236222,0.53422,1.072386,48.514853,100.0,76.137979,0.0,90.947368
